UF,Municipio,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
RR,ALTO ALEGRE,0.0,8.0,16.0,6.0,3.0,16.0,7.0,39.0,27.0,6.0,5.0
RR,AMAJARI,0.0,1.0,0.0,3.0,12.0,3.0,1.0,3.0,2.0,12.0,7.0
RR,BOA VISTA,0.0,5.0,34.0,46.0,55.0,46.0,10.0,0.0,0.0,1.0,56.0
RR,BONFIM,0.0,0.0,30.0,17.0,48.0,22.0,52.0,57.0,1.0,3.0,16.0
RR,CANTÁ,0.0,1.0,7.0,0.0,10.0,1.0,0.0,2.0,7.0,16.0,11.0
RR,CARACARAÍ,0.0,5.0,3.0,4.0,28.0,206.0,163.0,33.0,47.0,75.0,42.0
RR,CAROEBE,0.0,0.0,0.0,13.0,7.0,7.0,12.0,2.0,6.0,5.0,0.0
RR,IRACEMA,0.0,0.0,4.0,11.0,13.0,6.0,1.0,7.0,2.0,10.0,3.0
RR,MUCAJAÍ,0.0,0.0,13.0,40.0,55.0,92.0,64.0,49.0,7.0,20.0,18.0
RR,NORMANDIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,13.0,1.0,38.0
RR,PACARAIMA,0.0,6.0,24.0,12.0,18.0,24.0,35.0,30.0,33.0,13.0,16.0
RR,RORAINÓPOLIS,0.0,0.0,2.0,0.0,1.0,4.0,0.0,57.0,24.0,25.0,47.0
RR,SÃO JOÃO DA BALIZA,0.0,1.0,1.0,0.0,0.0,1.0,2.0,6.0,0.0,2.0,2.0
RR,SÃO LUIZ,0.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,4.0,0.0,6.0
RR,UIRAMUTÃ,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,3.0
