CD_UF;NM_UF;SG_UF;CD_MUNIC;NM_MUNIC;IDCQ0001;OCORRENCIA;CD_LQ;PREFIXO;NM_CQ;CD_AGLOM;NM_AGLOM;CD_TQ;NM_TQ;P_FCP;Lat_d;Long_d
11;RONDÔNIA;RO;1100106;Guajará-Mirim;02704;1;1100106027041;COMUNIDADE QUILOMBOLA;FORTE PRINCIPE DA BEIRA;;;;;;-10.7708888749;-65.3130817206
11;RONDÔNIA;RO;1100080;Costa Marques;02705;1;1100080027051;COMUNIDADE QUILOMBOLA;FORTE PRINCIPE DA BEIRA;00005;COMUNIDADE QUILOMBOLA FORTE PRINCIPE DA BEIRA;;;01420.001406/2005-44;-12.4274945414;-64.4215794334
11;RONDÔNIA;RO;1100320;São Miguel do Guaporé;03226;1;1100320032261;COMUNIDADE QUILOMBOLA;JESUS;;;1;QUILOMBOLA DE JESUS;01420.000556/2006-11;-12.1753662221;-63.1171799593
11;RONDÔNIA;RO;1101468;Pimenteiras do Oeste;03627;1;1101468036271;COMUNIDADE QUILOMBOLA;LARANJEIRAS;00002;COMUNIDADE QUILOMBOLA LARANJEIRAS;;;01420.002078/2005-01;-13.3283746325;-62.0099247539039
11;RONDÔNIA;RO;1101468;Pimenteiras do Oeste;03627;2;1101468036272;COMUNIDADE QUILOMBOLA;LARANJEIRAS;00001;COMUNIDADE QUILOMBOLA SANTA CRUZ;;;01420.002078/2005-01;-13.483028236;-61.0520186096
11;RONDÔNIA;RO;1100080;Costa Marques;04863;1;1100080048631;COMUNIDADE QUILOMBOLA;PEDRAS NEGRAS;;;;;;-12.4396868746;-64.2225286572
11;RONDÔNIA;RO;1100106;Guajará-Mirim;04864;1;1100106048641;COMUNIDADE QUILOMBOLA;PEDRAS NEGRAS;;;;;;-10.7644326804;-65.32370651
11;RONDÔNIA;RO;1101492;São Francisco do Guaporé;04865;1;1101492048651;COMUNIDADE QUILOMBOLA;PEDRAS NEGRAS;00001;COMUNIDADE QUILOMBOLA PEDRAS NEGRAS;234;PEDRAS NEGRAS;01420.001295/2005-76;-12.851817236;-62.9009119574
11;RONDÔNIA;RO;1100015;Alta Floresta D'Oeste;05665;1;1100015056651;COMUNIDADE QUILOMBOLA;ROLIM DE MOURA DO GUAPORÉ;00003;COMUNIDADE QUILOMBOLA ROLIM DE MOURA DO GUAPORÉ;;;01420.002954/2005-91;-13.0816666246;-62.2772257621
11;RONDÔNIA;RO;1101468;Pimenteiras do Oeste;05819;1;1101468058191;COMUNIDADE QUILOMBOLA;SANTA CRUZ;;;;;01420.001480/2007-22;-13.4807187635;-61.046278133
11;RONDÔNIA;RO;1100080;Costa Marques;05828;2;1100080058282;COMUNIDADE QUILOMBOLA;SANTA FÉ;;;;;01420.002941/2006-01;-12.4400189162;-64.2227110034
11;RONDÔNIA;RO;1100080;Costa Marques;05828;1;1100080058281;COMUNIDADE QUILOMBOLA;SANTA FÉ;00004;COMUNIDADE QUILOMBOLA SANTA FÉ;280;SANTA FÉ;01420.002941/2006-01;-12.4610353611;-64.1775215833
11;RONDÔNIA;RO;1100080;Costa Marques;06118;1;1100080061181;COMUNIDADE QUILOMBOLA;SANTO ANTÔNIO DO GUAPORÉ;;;;;;-12.4433931665;-64.2311248165
11;RONDÔNIA;RO;1100080;Costa Marques;06118;2;1100080061182;COMUNIDADE QUILOMBOLA;SANTO ANTÔNIO DO GUAPORÉ;;;;;;-12.4383519999;-64.2328447936
11;RONDÔNIA;RO;1101492;São Francisco do Guaporé;06119;1;1101492061191;COMUNIDADE QUILOMBOLA;SANTO ANTÔNIO DO GUAPORÉ;00003;COMUNIDADE QUILOMBOLA SANTO ANTÔNIO DO GUAPORÉ;235;SANTO ANTÔNIO DO GUAPORÉ;01420.000359/2003-50;-12.5432567498;-63.526268229
11;RONDÔNIA;RO;1101492;São Francisco do Guaporé;06119;2;1101492061192;COMUNIDADE QUILOMBOLA;SANTO ANTÔNIO DO GUAPORÉ;;;;;01420.000359/2003-50;-12.0548808055;-63.563874957
11;RONDÔNIA;RO;1100106;Guajará-Mirim;07347;1;1100106073471;COMUNIDADE QUILOMBOLA;VALE DO GUAPORÉ;;;;;;-10.7838192222;-65.3211470278
